Symbol,Trades,Invested,Current_Value,Profit_Loss,Return_Pct
AAPL,28,280.0,308.14,28.14,10.05
MSFT,31,310.0,301.06,-8.94,-2.88
GOOGL,26,260.0,304.51,44.51,17.12
AMZN,27,270.0,293.71,23.71,8.78
TSLA,28,280.0,310.2,30.2,10.79
