Symbol,Anomalies_Detected,Trades,Invested,Current_Value,Profit_Loss,Return_Pct
AAPL,113,59,280.0,0.0,17.35,6.2
MSFT,107,46,230.0,29.44,18.24,7.93
GOOGL,112,54,240.0,0.0,17.66,7.36
AMZN,101,72,370.0,70.76,31.01,8.38
TSLA,152,140,690.0,32.29,33.56,4.86
